Title,Author,Date,Subgenre,isbn,pageCount,publisher,publishedDate,description,averageRating,ratingsCount,categories,maturityRating
The Well of Ascension,Brandon Sanderson,01-21-2023,Epic Fantasy,9781429961813,816,Tor Books,2010-04-01,"Now with over 10 million copies sold, The Mistborn Series has the thrills of a heist story, the twistiness of political intrigue, and the epic scale of a landmark fantasy saga. They did the impossible, ending the thousand-year reign of the godlike Lord Ruler. Now Vin, the former street urchin turned powerful Mistborn, and Elend Venture, the idealistic young nobleman who loves her, must build a healthy new society in the ashes of an empire. As tensions grow in the wake of the uprising, an ancient legend seems to offer a glimmer of hope. But even if it really exists, no one knows where to find the Well of Ascension or what manner of power it bestows. It may just be that killing the Lord Ruler was the easy part. Surviving the aftermath of his fall is going to be the real challenge. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive ● The Way of Kings ● Words of Radiance ● Edgedancer (novella) ● Oathbringer ● Dawnshard (novella) ● Rhythm of War ● Wind and Truth The Mistborn Saga The Original Trilogy ● Mistborn ● The Well of Ascension ● The Hero of Ages Wax & Wayne ● The Alloy of Law ● Shadows of Self ● The Bands of Mourning ● The Lost Metal Other Cosmere novels ● Elantris ● Warbreaker ● Tress of the Emerald Sea ● Yumi and the Nightmare Painter ● The Sunlit Man Collection ● Arcanum Unbounded: The Cosmere Collection Alcatraz vs. the Evil Librarians ● Alcatraz vs. the Evil Librarians ● The Scrivener's Bones ● The Knights of Crystallia ● The Shattered Lens ● The Dark Talent ● Bastille vs. the Evil Librarians (with Janci Patterson) Other novels ● The Rithmatist ● Legion: The Many Lives of Stephen Leeds ● The Frugal Wizard’s Handbook for Surviving Medieval England Other books by Brandon Sanderson The Reckoners ● Steelheart ● Firefight ● Calamity ● Lux (with Steven Michael Bohls) Skyward ● Skyward ● Starsight ● Cytonic ● Skyward Flight (with Janci Patterson) ● Defiant At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",4,22,Fiction,NOT_MATURE
Stay Awhile and Listen,David L. Craddock,12-29-2022,Video Game History / Nonfiction,9780988409903,430,"Digital Monument Press, LLC",2013-10-31,,,,Computers,NOT_MATURE
Shadowrun Legends: Find Your Own Truth,Robert N. Charrette,12-29-2022,Cyberpunk,,453,Catalyst Game Labs,2019-12-23,"DESPERATE TIMES… He was only a ""beginner"" shaman, but Sam Verner had to find a cure to break the curse on his sister. Only something of great magic would do the trick. It was this quest that took him to a mystical citadel in Australia, where, with the aid of his shadowrunner friends, he recovered a strange artifact he hoped would prove helpful. DESPERATE MEASURES… But instead of anything that even remotely resembled help, an unexpected and ancient terror was released—a terror that erupted into a shadow war for dominion over an awakened Earth. And while the evil kept growing, inexorably drawing him into battle, the curse's power over his sister was also growing, bringing her closer and closer to death. Soon a truly desperate Sam realized that the last and only hope for saving his sister was to find the greatest shaman of the Sixth World, former leader of the Great Ghost Dance—a man who may no longer exist...",,,Fiction,NOT_MATURE
The Final Empire,Brandon Sanderson,12-28-2022,Epic Fantasy,9781429914567,686,Macmillan,2010-04-01,"Now with over 10 million copies sold, The Mistborn Series has the thrills of a heist story, the twistiness of political intrigue, and the epic scale of a landmark fantasy saga. Once, a hero arose to save the world. He failed. Ever since, the world has been a wasteland of ash and mist controlled by the immortal emperor known as the Lord Ruler. But hope survives. A new uprising is forming, one built around the ultimate caper, the cunning of a brilliant criminal mastermind, and the determination of an unlikely heroine: a street urchin who must learn to master the power of a Mistborn. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive ● The Way of Kings ● Words of Radiance ● Edgedancer (novella) ● Oathbringer ● Dawnshard (novella) ● Rhythm of War ● Wind and Truth The Mistborn Saga The Original Trilogy ● Mistborn ● The Well of Ascension ● The Hero of Ages Wax & Wayne ● The Alloy of Law ● Shadows of Self ● The Bands of Mourning ● The Lost Metal Other Cosmere novels ● Elantris ● Warbreaker ● Tress of the Emerald Sea ● Yumi and the Nightmare Painter ● The Sunlit Man Collection ● Arcanum Unbounded: The Cosmere Collection Alcatraz vs. the Evil Librarians ● Alcatraz vs. the Evil Librarians ● The Scrivener's Bones ● The Knights of Crystallia ● The Shattered Lens ● The Dark Talent ● Bastille vs. the Evil Librarians (with Janci Patterson) Other novels ● The Rithmatist ● Legion: The Many Lives of Stephen Leeds ● The Frugal Wizard’s Handbook for Surviving Medieval England Other books by Brandon Sanderson The Reckoners ● Steelheart ● Firefight ● Calamity ● Lux (with Steven Michael Bohls) Skyward ● Skyward ● Starsight ● Cytonic ● Skyward Flight (with Janci Patterson) ● Defiant At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",4.5,78,Fiction,NOT_MATURE
America's Bank,Roger Lowenstein,12-03-2022,Financial History / Nonfiction,9781101614129,370,Penguin,2015-10-20,"A tour de force of historical reportage, America’s Bank illuminates the tumultuous era and remarkable personalities that spurred the unlikely birth of America’s modern central bank, the Federal Reserve. Today, the Fed is the bedrock of the financial landscape, yet the fight to create it was so protracted and divisive that it seems a small miracle that it was ever established. For nearly a century, America, alone among developed nations, refused to consider any central or organizing agency in its financial system. Americans’ mistrust of big government and of big banks—a legacy of the country’s Jeffersonian, small-government traditions—was so widespread that modernizing reform was deemed impossible. Each bank was left to stand on its own, with no central reserve or lender of last resort. The real-world consequences of this chaotic and provincial system were frequent financial panics, bank runs, money shortages, and depressions. By the first decade of the twentieth century, it had become plain that the outmoded banking system was ill equipped to finance America’s burgeoning industry. But political will for reform was lacking. It took an economic meltdown, a high-level tour of Europe, and—improbably—a conspiratorial effort by vilified captains of Wall Street to overcome popular resistance. Finally, in 1913, Congress conceived a federalist and quintessentially American solution to the conflict that had divided bankers, farmers, populists, and ordinary Americans, and enacted the landmark Federal Reserve Act. Roger Lowenstein—acclaimed financial journalist and bestselling author of When Genius Failed and The End of Wall Street—tells the drama-laden story of how America created the Federal Reserve, thereby taking its first steps onto the world stage as a global financial power. America’s Bank showcases Lowenstein at his very finest: illuminating complex financial and political issues with striking clarity, infusing the debates of our past with all the gripping immediacy of today, and painting unforgettable portraits of Gilded Age bankers, presidents, and politicians. Lowenstein focuses on the four men at the heart of the struggle to create the Federal Reserve. These were Paul Warburg, a refined, German-born financier, recently relocated to New York, who was horrified by the primitive condition of America’s finances; Rhode Island’s Nelson W. Aldrich, the reigning power broker in the U.S. Senate and an archetypal Gilded Age legislator; Carter Glass, the ambitious, if then little-known, Virginia congressman who chaired the House Banking Committee at a crucial moment of political transition; and President Woodrow Wilson, the academician-turned-progressive-politician who forced Glass to reconcile his deep-seated differences with bankers and accept the principle (anathema to southern Democrats) of federal control. Weaving together a raucous era in American politics with a storied financial crisis and intrigue at the highest levels of Washington and Wall Street, Lowenstein brings the beginnings of one of the country’s most crucial institutions to vivid and unforgettable life. Readers of this gripping historical narrative will wonder whether they’re reading about one hundred years ago or the still-seething conflicts that mark our discussions of banking and politics today.",5,1,Business & Economics,NOT_MATURE
The Power and Independence of the Federal Reserve,Peter Conti-Brown,11-29-2022,Financial History / Nonfiction,9780691178387,372,Princeton University Press,2017-10-10,"An in-depth look at the history, leadership, and structure of the Federal Reserve Bank The independence of the Federal Reserve is considered a cornerstone of its identity, crucial for keeping monetary policy decisions free of electoral politics. But do we really understand what is meant by ""Federal Reserve independence""? Using scores of examples from the Fed's rich history, The Power and Independence of the Federal Reserve shows that much common wisdom about the nation's central bank is inaccurate. Legal scholar and financial historian Peter Conti-Brown provides an in-depth look at the Fed's place in government, its internal governance structure, and its relationships to such individuals and groups as the president, Congress, economists, and bankers. Exploring how the Fed regulates the global economy and handles its own internal politics, and how the law does—and does not—define the Fed's power, Conti-Brown captures and clarifies the central bank's defining complexities. He examines the foundations of the Federal Reserve Act of 1913, which established a system of central banks, and the ways that subsequent generations have redefined the organization. Challenging the notion that the Fed Chair controls the organization as an all-powerful technocrat, he explains how institutions and individuals—within and outside of government—shape Fed policy. Conti-Brown demonstrates that the evolving mission of the Fed—including systemic risk regulation, wider bank supervision, and as a guardian against inflation and deflation—requires a reevaluation of the very way the nation's central bank is structured. Investigating how the Fed influences and is influenced by ideologies, personalities, law, and history, The Power and Independence of the Federal Reserve offers a uniquely clear and timely picture of one of the most important institutions in the United States and the world.",,,Business & Economics,NOT_MATURE
Weaving the Web,Tim Berners-Lee,11-29-2022,Internet History / Nonfiction,,0,,1999,"""Tim Berners-Lee, the inventor of the World Wide Web, has been hailed by Time magazine as one of the 100 greatest minds of this century. His creation has already changed the way people do business, entertain themselves, exchange ideas, and socialize with one another."" ""Berners-Lee offers insights to help readers understand the true nature of the Web, enabling them to use it to their fullest advantage. He shares his views on such critical issues as censorship, privacy, the increasing power of software companies in the online world, and the need to find the ideal balance between the commercial and social forces on the Web. His criticism of the Web's current state makes clear that there is still much work to be done. Finally, Berners-Lee presents his own plan for the Web's future, one that calls for the active support and participation of programmers, computer manufacturers, and social organizations to make it happen."" --Book Jacket.",,,World Wide Web,NOT_MATURE
Monster Hunter International,Larry Correia,11-29-2022,Urban Fantasy / Action,9781625794345,669,Baen Publishing Enterprises,2015-05-13,"Contains an all-new afterword by New York Times best-selling author Larry Correia! Welcome to Monster Hunter International. Five days after Owen Zastava Pitt pushed his insufferable boss out of a fourteenth story window, he woke up in the hospital with a scarred face, an unbelievable memory, and a job offer. It turns out that monsters are real. All the things from myth, legend, and B-movies are out there, waiting in the shadows. Officially secret, some of them are evil, and some are just hungry. On the other side are the people who kill monsters for a living. Monster Hunter International is the premier eradication company in the business. And now Owen is their newest recruit. It's actually a pretty sweet gig, except for one little problem. An ancient entity known as the Cursed One has returned to settle a centuries old vendetta. Should the Cursed One succeed, it means the end of the world, and MHI is the only thing standing in his way. With the clock ticking towards Armageddon, Owen finds himself trapped between legions of undead minions, belligerent federal agents, a cryptic ghost who has taken up residence inside his head, and the cursed family of the woman he loves. Business is good . . . At the publisher's request, this title is sold without DRM (Digital Rights Management). Lexile Score: 710",,,Fiction,NOT_MATURE
The Dog Stars,Peter Heller,11-12-2022,Post-Apocalyptic Literary,9780307950475,337,Vintage,2013-05-07,"SOON TO BE A MAJOR MOTION PICTURE • NATIONAL BESTSELLER • From the author of The River: In this ""end-of-the-world novel more like a rapturous beginning"" (San Francisco Chronicle), Hig somehow survived the flu pandemic that killed everyone he knows. His gripping story is ""an ode to friendship between two men...the strong bond between a human and a dog, and a reminder of what is worth living for"" (Minneapolis Star-Tribune). Hig's wife is gone, his friends are dead, and he lives in the hangar of a small abandoned airport with his dog, Jasper, and a mercurial, gun-toting misanthrope named Bangley. But when a random transmission beams through the radio of his 1956 Cessna, the voice ignites a hope deep inside him that a better life exists outside their tightly controlled perimeter. Risking everything, he flies past his point of no return and follows its static-broken trail, only to find something that is both better and worse than anything he could ever hope for.",4,1,Fiction,NOT_MATURE
When the English Fall,David Williams,11-12-2022,Post-Apocalyptic / Amish,9781616205225,255,Algonquin Books,2017-07-11,"A riveting and unexpected novel that questions whether a peaceful and non- violent community can survive when civilization falls apart. Again, all are asleep, but I am not. I need sleep, but though I read and I pray, I feel too awake. My mind paces the floor. There are shots now and again, bursts here and there, far away, and I cannot sleep. I think of this man in his hunger, shot like a rabbit raiding a garden. For what, Lord? For stealing corn intended for pigs and cattle, like the hungry prodigal helpless in a strange land. I can hear his voice. When a catastrophic solar storm brings about the collapse of modern civilization, an Amish community is caught up in the devastating aftermath. With their stocked larders and stores of supplies, the Amish are unaffected at first. But as the English (the Amish name for all non-Amish people) in the cities become increasingly desperate, they begin to invade nearby farms, taking whatever they want and unleashing unthinkable violence on the gentle communities. Written as the diary of an Amish farmer named Jacob who tries to protect his family and his way of life, When the English Fall examines the idea of peace in the face of deadly chaos. Should members of a nonviolent society defy their beliefs and take up arms to defend themselves? And if they do, can they survive? David Williams’s debut novel is a thoroughly engrossing look into the closed world of the Amish, as well as a thought-provoking examination of how we live today and what remains if the center cannot hold.",,,Fiction,NOT_MATURE
"Blood, Sweat, and Pixels",Jason Schreier,10-31-2022,Video Game History / Nonfiction,9780062651242,312,HarperCollins,2017-09-05,"NATIONAL BESTSELLER “The stories in this book make for a fascinating and remarkably complete pantheon of just about every common despair and every joy related to game development.” — Rami Ismail, cofounder of Vlambeer and developer of Nuclear Throne Developing video games—hero's journey or fool's errand? The creative and technical logistics that go into building today's hottest games can be more harrowing and complex than the games themselves, often seeming like an endless maze or a bottomless abyss. In Blood, Sweat, and Pixels, Jason Schreier takes readers on a fascinating odyssey behind the scenes of video game development, where the creator may be a team of 600 overworked underdogs or a solitary geek genius. Exploring the artistic challenges, technical impossibilities, marketplace demands, and Donkey Kong-sized monkey wrenches thrown into the works by corporate, Blood, Sweat, and Pixels reveals how bringing any game to completion is more than Sisyphean—it's nothing short of miraculous. Taking some of the most popular, bestselling recent games, Schreier immerses readers in the hellfire of the development process, whether it's RPG studio Bioware's challenge to beat an impossible schedule and overcome countless technical nightmares to build Dragon Age: Inquisition; indie developer Eric Barone's single-handed efforts to grow country-life RPG Stardew Valley from one man's vision into a multi-million-dollar franchise; or Bungie spinning out from their corporate overlords at Microsoft to create Destiny, a brand new universe that they hoped would become as iconic as Star Wars and Lord of the Rings—even as it nearly ripped their studio apart. Documenting the round-the-clock crunches, buggy-eyed burnout, and last-minute saves, Blood, Sweat, and Pixels is a journey through development hell—and ultimately a tribute to the dedicated diehards and unsung heroes who scale mountains of obstacles in their quests to create the best games imaginable.",4,2,Games & Activities,NOT_MATURE
131 Days: Omnibus 1,Keith C. Blackmore,10-11-2022,Zombie Apocalypse,,,,,,,,,
Breeds 3,Keith C. Blackmore,09-29-2022,Zombie Apocalypse,9781386668534,,,2018,"They've waited a decade to come together. Long years filled with unbearable pain and soul-wrenching torment that have changed them both and left wounds that have laid their souls bare. Wounds that stand one chance of healing-- if only they could stop fighting each other long enough for the truth to work its healing balm. Kane, a relentless warrior, lost more than his heart to Sherra in a night of mating passion that marked them both for life. But news of her death ripped his soul apart. For years he has fought to avenge the death of the woman he loved more than his own life, by revealing the deceit and cruelty of the Council that created the Breeds. But Sherra didn't die, and now amid the rapidly escalating violence against the Feline Breeds, Kane and Sherra learn that there's more to mating than just the ""heat"" just as there's more to love than just the sex...",,,Man-woman relationships,NOT_MATURE
Breeds 2,Keith C. Blackmore,09-29-2022,Zombie Apocalypse,9781039483484,0,,2022-10-03,"As the jaws of winter clamp down on the city of Halifax, the light recedes and new terrors arise, in the second book of this werewolf horror series. Months after the war with Borland and his vicious werebrood, Kirk and Morris are experiencing curious aftereffects. They're stronger, faster, and no longer vulnerable to the sharp sting of silver. On the other hand, they're forever hungry, and nothing they eat provides the same nourishment as what they consumed on the island of Newfoundland. When a mysterious stranger rides into Morris's territory wishing to hunt, the warden knows the visitor isn't after deer. The ultimate race begins as Kirk and Morris lead a host of wardens to put down one of their own before the next full moon--when an entire city will be subjected to one voracious appetite. Breeds 2 is the second book in a trilogy of terror sure to please fans of Robert R. McCammon, Maggie Stiefvater, and Chase Novak.",,,Fiction,NOT_MATURE
"Breeds, Book 1",Keith C. Blackmore,09-24-2022,Zombie Apocalypse,9781386124740,,,2017,"He's a genetic experiment. The merging of human and lion DNA his creators call a Breed. And they have no idea just what kind of the creature they brought into being.Callan Lyons wanted only to be left in peace to protect the small group of Breeds he rescued from a New Mexico lab, but those that created them refuse to stop their continued attempts to re-capture them. And the owner of a small, reputable paper, once a friend of his birth mother's, now has proof of his existence. Proof that has caught his daughter, Merinus Tyler's's fascination and ensured her determination to find him. But once they touch, they'll become far more than either ever imagined possible.Man created them, but nature has made them her own. Beginning with Callan, she'll show the world the folly of playing with the very building blocks of all she protects. And Merinus will learn the folly of tempting the beast…",,,,NOT_MATURE
Classic Radio Sci-Fi: BBC Drama Collection,Various,09-09-2022,Sci-Fi Anthology,,,,,,,,,
In Search of Lost Time,Marcel Proust,09-09-2022,Literary Fiction,9783736417892,595,anboco,2016-10-25,"Swann's Way: In Search of Lost Time or Remembrance of Things Past, is a novel in seven volumes, written by Marcel Proust, is considered to be his most prominent work, known both for its length and its theme of involuntary memory, the most famous example being the ""episode of the madeleine"" which occurs early in the first volume. The novel had great influence on twentieth-century literature; some writers have sought to emulate it, others to parody it. In the centenary year of Du côté de chez Swann, Edmund White pronounced À la recherche du temps perdu ""the most respected novel of the twentieth century.""",,,Fiction,NOT_MATURE
BBC Classics: Ultimate Story Collection,Various,09-09-2022,Literary Anthology,9781785296390,0,National Geographic Books,2018-02-27,"A stunning collection of Just William stories, narrated by Martin Jarvis. These BBC radio readings of the adventures of William have come to be one of the most well-loved adaptations. Available now in stunning new packaging.",,,Juvenile Fiction,NOT_MATURE
Shaman,Kim Stanley Robinson,07-24-2022,Prehistoric Literary Fiction,9780316235570,368,Orbit,2013-09-03,"Kim Stanley Robinson, the New York Times bestselling author of science fiction masterworks such as the Mars trilogy and 2312, has, on many occasions, imagined our future. Now, in Shaman, he brings our past to life as never before. There is Thorn, a shaman himself. He lives to pass down his wisdom and his stories -- to teach those who would follow in his footsteps. There is Heather, the healer who, in many ways, holds the clan together. There is Elga, an outsider and the bringer of change. And then there is Loon, the next shaman, who is determined to find his own path. But in a world so treacherous, that journey is never simple -- and where it may lead is never certain. Shaman is a powerful, thrilling and heartbreaking story of one young man's journey into adulthood -- and an awe-inspiring vision of how we lived thirty thousand years ago.",4,1,Fiction,NOT_MATURE
The Last Emperox,John Scalzi,07-23-2022,Space Opera,9780765389176,204,Tor Books,2020-04-14,"The Last Emperox is the thrilling conclusion to the award-winning, New York Times and USA Today bestselling Interdependency series, an epic space opera adventure from Hugo Award-winning author John Scalzi. The collapse of The Flow, the interstellar pathway between the planets of the Interdependency, has accelerated. Entire star systems—and billions of people—are becoming cut off from the rest of human civilization. This collapse was foretold through scientific prediction . . . and yet, even as the evidence is obvious and insurmountable, many still try to rationalize, delay and profit from, these final days of one of the greatest empires humanity has ever known. Emperox Grayland II has finally wrested control of her empire from those who oppose her and who deny the reality of this collapse. But “control” is a slippery thing, and even as Grayland strives to save as many of her people form impoverished isolation, the forces opposing her rule will make a final, desperate push to topple her from her throne and power, by any means necessary. Grayland and her thinning list of allies must use every tool at their disposal to save themselves, and all of humanity. And yet it may not be enough. Will Grayland become the savior of her civilization . . . or the last emperox to wear the crown? The Interdependency Series 1. The Collapsing Empire 2. The Consuming Fire 3. The Last Emperox At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",,,Fiction,NOT_MATURE
The Consuming Fire,John Scalzi,07-21-2022,Space Opera,9780765388971,317,,,,,,,NOT_MATURE
The Collapsing Empire,John Scalzi,07-06-2022,Space Opera,9780765388889,334,Tor Books,2017-03-21,"The first novel of a new space-opera sequence set in an all-new universe by the Hugo Award-winning, New York Times-bestselling author of Redshirts and Old Man's War.",,,Fiction,NOT_MATURE
Mindless,Keith C. Blackmore,06-17-2022,Zombie Apocalypse,9781039449893,0,Mountain Man,2023-07-04,"Out of the zombie apocalypse comes a new medieval empire with terrifying ambitions in this dystopian horror thriller. After securing a vast government bunker, Collie Jones is heading west to challenge the sinister road clan known as the Leather. And she won't stop until she's killed its maniacal leader: the Dog Tongue. Gus Berry is at her side every step of the way, his growing affection for the operator matched only by his dislike of the former prisoner Milo, whom Collie insists on bringing along. Together, this unlikely trio will face an ominous new order. An empire of cruelty is building its strength on the broken wills and spines of its minions, all the while weaponizing the very thing that destroyed civilization in the first place . . . Delivering more adrenaline-pumping action with nuance, humor, and heart, Mindless is the sixth book in Keith C. Blackmore's thrilling Mountain Man series-perfect for fans of HBO's The Last of Us.",,,,NOT_MATURE
Dry,Neal Shusterman,06-17-2022,Climate Fiction / YA,9781481481984,416,Simon and Schuster,2018-10-02,"“The authors do not hold back.” —Booklist (starred review) “The palpable desperation that pervades the plot…feels true, giving it a chilling air of inevitability.” —Publishers Weekly (starred review) “The Shustermans challenge readers.” —School Library Journal (starred review) “No one does doom like Neal Shusterman.” —Kirkus Reviews (starred review) When the California drought escalates to catastrophic proportions, one teen is forced to make life and death decisions for her family in this harrowing story of survival from New York Times bestselling author Neal Shusterman and Jarrod Shusterman. The drought—or the Tap-Out, as everyone calls it—has been going on for a while now. Everyone’s lives have become an endless list of don’ts: don’t water the lawn, don’t fill up your pool, don’t take long showers. Until the taps run dry. Suddenly, Alyssa’s quiet suburban street spirals into a warzone of desperation; neighbors and families turned against each other on the hunt for water. And when her parents don’t return and her life—and the life of her brother—is threatened, Alyssa has to make impossible choices if she’s going to survive.",4,8,Young Adult Fiction,NOT_MATURE
Make Me King,Keith C. Blackmore,06-06-2022,Zombie Apocalypse,9781039449886,0,Mountain Man,2023-07-04,"As the zombie epidemic wanes, one community hopes to expand-but a menacing rival group will do anything to stop them-in this post-apocalyptic horror series. On the isle of Big Tancook, Collie Jones is making plans. She informs her fellow islanders that it's time to resume her original mission: to find other survivors of the apocalypse, screen them, and bring them back with her. Every person who joins them is another valuable addition to their skill and gene pool. But first, Collie must return to the place from whence she originally came and secure the elaborate government bunker known as Whitecap as well as its vast store of munitions. Assembling a team that includes mountain man Gus Berry, Collie returns to the mainland-and confronts a new enemy. It seems a rival group is also determined to locate survivors, intending to build an empire. And they don't like competition . . . Full of twists and turns, drama and adventure, the stakes have never been higher, in Make Me King, the fifth book of Keith C. Blackmore's thrilling Mountain Man series-perfect for fans of HBO's The Last of Us.",,,,NOT_MATURE
Well Fed,Keith C. Blackmore,05-24-2022,Zombie Apocalypse,9781039449879,0,Podium Publishing Ulc,2023-07-04,"As survivors come together in the wake of a zombie apocalypse, a deadly new menace emerges, in this dystopian horror series. After nearly four years, the zombie epidemic has almost burned itself out. Once a lone survivor on the brink of insanity, Gus Berry has a new life on a communal farm, his daily routine of policing the fields only rarely disrupted by straying undead. Gus's drinking binges are over, and the dark days of Annapolis are soon to be a distant memory. But his troubles are far from over . . . When Gus is asked to search for a group of missing scavengers, he reluctantly agrees. But he soon discovers a new predator has been unleashed upon the land, one determined to harvest every last mortal life-and feed it to a ravenous machine. The gritty zombie survival series continues with Well Fed, the fourth book in Keith C. Blackmore's thrilling Mountain Man series-perfect for fans of HBO's The Last of Us.",,,,NOT_MATURE
Hellifax,Keith C. Blackmore,05-24-2022,Zombie Apocalypse,9781039449862,0,,2023-07-04,"As undead hordes roam the frozen landscape, a lone man hunts an even deadlier foe, in this gritty horror thriller. A serial killer stalks the ice-glazed streets. Half-frozen deadheads choke the avenues. Infected vermin rise from the labyrinth of sewer systems, hungry for warm flesh. And a handful of survivors struggle to escape and find safety in a world overrun with zombies. In his hunt for the monster known as Tenner, one man must contend with all of this and more-before things get even worse. Welcome to Hellifax, the third book in Keith C. Blackmore's thrilling Mountain Man series-perfect for fans of HBO's The Last of Us.",,,,NOT_MATURE
Mountain Man: 2nd Prequel,Keith C. Blackmore,05-10-2022,Zombie Apocalypse,9781039449916,0,Mountain Man,2023-07-25,"Surviving the zombie apocalypse requires supplies-like booze, weapons . . . and toilet paper-in the second prequel to the Mountain Man series. Living off the land and adapting to a changing environment takes a special individual with the unique skills, training, and determination necessary to survive. Gus Berry is not that individual. The former house painter barely made it out of Annapolis as its population underwent a violent transformation, leaving everyone he knew and loved dead-or undead. Now, Gus needs food and booze, weapons and armor, clothing that fits, and above all, toilet paper, preferably two-ply. But getting his hands on any of these essentials requires the one thing he can't face doing, and that's leaving his modern mountain fortress and returning to Annapolis and the horrors that roam its streets in search of the living. With winter looming, Gus must procure these much-needed supplies quickly, before the snow piles too high and blocks the roads. And that's when he'll face the greatest challenge of all: maintaining his sanity . . .",,,,NOT_MATURE
Mountain Man Prequel,Keith C. Blackmore,05-09-2022,Zombie Apocalypse,9781039449909,0,Mountain Man,2023-07-25,"An overnight gig turns into a nightmare when zombies start coming for blood in this prequel to the apocalyptic horror series. After a long day on the job, house painter Gus Berry is looking forward to relaxing and hanging out with his girlfriend before returning to work the next day. That's not going to happen though. Gus's coworker Benny has found them a painting gig at the local Mollymart East, and it has to be done by morning. If Gus and his crew can complete the work on time, it could mean huge business with a major grocery store chain. But as Gus and his fellow painters are about to discover, the much-anticipated zombie apocalypse doesn't start with a bang but on a Monday. And barricading themselves inside a megastore isn't the end-it's only the beginning . . .",,,,NOT_MATURE
Gravity's Rainbow,Thomas Pynchon,05-05-2022,Literary Fiction / WWII,9780140188592,772,Penguin,1995,"In the mid-1960s, the publication of Pynchon's V and The Crying of Lot 49 introduced a brilliant new voice to American literature. Gravity's Rainbow, his convoluted, allusive novel about a metaphysical quest, published in 1973, further confirmed Pynchon's reputation as one of the greatest writers of the century.",4,43,Fiction,NOT_MATURE
Ghost Run,J.L. Bourne,05-02-2022,Zombie Apocalypse / Military,9781501116698,256,Simon and Schuster,2016-07-19,"A Navy commander discovers an amazing secret about the pandemic that started the zombie apocalypse and destroyed the U.S. population, in the fourth installment of the series following Shattered Hourglass. Original.",,,Fiction,NOT_MATURE
Shattered Hourglass,J.L. Bourne,04-19-2022,Zombie Apocalypse / Military,9781451628814,322,Simon and Schuster,2012-12-26,"A Navy commander leads Task Force Hourglass in mission to take back the continental United States, where the undead dominate what's left of the human population.",,,Fiction,NOT_MATURE
Beyond Exile,J.L. Bourne,04-13-2022,Zombie Apocalypse / Military,9781849831611,313,Simon and Schuster,2010-07-22,"Sporadic news reports indicate chaos and violence spreading through US cities. An unknown evil is sweeping the planet. The dead are rising to claim the earth as the new dominant species in the food chain. Day by Day Armageddonand its sequel Beyond Exileare the handwritten journals of one desperate survivor as he battles in the face of global disaster. Zombie fiction at its finest, these books will take you to a whole new level of terror.",,,Fiction,NOT_MATURE
Day By Day Armageddon,J.L. Bourne,04-12-2022,Zombie Apocalypse / Military,9781439177273,231,Simon and Schuster,2009-09-29,"Once on the fringes of horror, the “zombie apocalypse,” has become one of the most buzzworthy genres in popular culture. Now, in Day by Day Armageddon, J.L. Bourne delivers an intelligent, gripping thriller that will leave both new and die-hard zombie fans breathless--perfect for fans of The Walking Dead. Sporadic news reports indicate chaos and violence spreading through U.S. cities. An unknown evil is sweeping the planet. The dead are rising to claim the Earth as the new dominant species in the food chain.This is the handwritten journal depicting one man’s struggle for survival. Trapped in the midst of global disaster, he must make decisions; choices that ultimately mean life, or the eternal curse to walk as one of them. Enter if you will into his world. The world of the undead.",,,Fiction,NOT_MATURE
Leviathan Wakes,James S.A. Corey,04-09-2022,Space Opera,9780316134675,411,Orbit,2011-06-15,"From a New York Times bestselling and Hugo award-winning author comes a modern masterwork of science fiction, introducing a captain, his crew, and a detective as they unravel a horrifying solar system wide conspiracy that begins with a single missing girl. Now a Prime Original series. Humanity has colonized the solar system—Mars, the Moon, the Asteroid Belt and beyond—but the stars are still out of our reach. Jim Holden is XO of an ice miner making runs from the rings of Saturn to the mining stations of the Belt. When he and his crew stumble upon a derelict ship, the Scopuli, they find themselves in possession of a secret they never wanted. A secret that someone is willing to kill for—and kill on a scale unfathomable to Jim and his crew. War is brewing in the system unless he can find out who left the ship and why. Detective Miller is looking for a girl. One girl in a system of billions, but her parents have money and money talks. When the trail leads him to the Scopuli and rebel sympathizer Holden, he realizes that this girl may be the key to everything. Holden and Miller must thread the needle between the Earth government, the Outer Planet revolutionaries, and secretive corporations—and the odds are against them. But out in the Belt, the rules are different, and one small ship can change the fate of the universe.​ ""Interplanetary adventure the way it ought to be written."" —George R. R. Martin Hugo Award Winner for Best Series The Expanse Leviathan Wakes Caliban's War Abaddon's Gate Cibola Burn Nemesis Games Babylon's Ashes Persepolis Rising Tiamat's Wrath ​ Leviathan Falls Memory's Legion The Expanse Short Fiction Drive The Butcher of Anderson Station Gods of Risk The Churn The Vital Abyss Strange Dogs Auberon The Sins of Our Fathers​",4,56,Fiction,NOT_MATURE
